,reference,energy_type,description,description_tokens
27,10965,Susceptible Part,"injured_person was placing a sample in the Ro-Tap cabinet for sizing at SGS lab
Whilst closing the latch on the door caught left hand middle finger in the closing latch resulting in a superficial laceration
","['injured', 'person', 'was', 'placing', 'a', 'sample', 'in', 'the', 'ro-tap', 'cabinet', 'for', 'sizing', 'at', 'sgs', 'lab', 'whilst', 'closing', 'the', 'latch', 'on', 'the', 'door', 'caught', 'left', 'hand', 'middle', 'finger', 'in', 'the', 'closing', 'latch', 'resulting', 'in', 'a', 'superficial', 'laceration']"
64,35944,Susceptible Part,"Role- Kitchen Utility
Time in Role- injured_person's first swing 
Days into shift: Day 12 of 14 day swing

-injured_person was cutting up sweet potatoes in RDV kitchen
- injured_person was not wearing the appropriate PPE- ie Cut gloves
- injured_person was rushing to finish the task before the end of their shift.
-injured_person had not completed a Five Step to assess the hazards or think about the controls.
- When the injured_person placed their thumb under the knife blade, due to miscalculating the process of cutting the vegetables, the knife has contacted and cut the tip of the left- hand thumb.
-The injured_person wrapped the thumb and continued to finish the task and then less than an hour later informed the head chef of the incident.
- The Head chef alerted the HSQE advisor who has performed basic wound care and dressed the minor laceration.
- At 4:30 hours the HSQE took the injured_person to the medic for assessment.

","['role', 'kitchen', 'utility', 'time', 'in', 'role', 'injured', 'person', 's', 'first', 'swing', 'days', 'into', 'shift', 'day', '<num>', 'of', '<num>', 'day', 'swing', 'injured', 'person', 'was', 'cutting', 'up', 'sweet', 'potatoes', 'in', 'rdv', 'kitchen', 'injured', 'person', 'was', 'not', 'wearing', 'the', 'appropriate', 'ppe', 'ie', 'cut', 'gloves', 'injured', 'person', 'was', 'rushing', 'to', 'finish', 'the', 'task', 'before', 'the', 'end', 'of', 'their', 'shift', 'injured', 'person', 'had', 'not', 'completed', 'a', 'five', 'step', 'to', 'assess', 'the', 'hazards', 'or', 'think', 'about', 'the', 'controls', 'when', 'the', 'injured', 'person', 'placed', 'their', 'thumb', 'under', 'the', 'knife', 'blade', 'due', 'to', 'miscalculating', 'the', 'process', 'of', 'cutting', 'the', 'vegetables', 'the', 'knife', 'has', 'contacted', 'and', 'cut', 'the', 'tip', 'of', 'the', 'left', 'hand', 'thumb', 'the', 'injured', 'person', 'wrapped', 'the', 'thumb', 'and', 'continued', 'to', 'finish', 'the', 'task', 'and', 'then', 'less', 'than', 'an', 'hour', 'later', 'informed', 'the', 'head', 'chef', 'of', 'the', 'incident', 'the', 'head', 'chef', 'alerted', 'the', 'hsqe', 'advisor', 'who', 'has', 'performed', 'basic', 'wound', 'care', 'and', 'dressed', 'the', 'minor', 'laceration', 'at', '<time>', 'hours', 'the', 'hsqe', 'took', 'the', 'injured', 'person', 'to', 'the', 'medic', 'for', 'assessment']"
77,31243,Susceptible Part,"While unscrewing down hole survey gyro with spanners, right hand spanner slipped causing wrist to contact the gyro plastic storage case, causing a contusion with intact skin injury to right wrist.","['while', 'unscrewing', 'down', 'hole', 'survey', 'gyro', 'with', 'spanners', 'right', 'hand', 'spanner', 'slipped', 'causing', 'wrist', 'to', 'contact', 'the', 'gyro', 'plastic', 'storage', 'case', 'causing', 'a', 'contusion', 'with', 'intact', 'skin', 'injury', 'to', 'right', 'wrist']"
81,36092,Susceptible Part,"ROLE: Kitchen Utility

Time in role: First swing

Swing length: 14/7

Days into swing: Day 12

Event Summary:
- injured_person working shift from 2am-2pm, (on day 12) incident occurred at approximately 1240 hrs.
- injured_person admitted that they were not wearing the correct PPE, (cut gloves) and had not signed off onto the SWI procedure for using a knife in the course of their duties.
- injured_person also admitted that they had not completed a Step 5 for the task involved.
- injured_person also admitted that they were rushing to complete the task before the end of their shift and was cutting the sweet potatoes quickly in order to complete the task.
- injured_person was using a serrated edge bread knife for the task and in the course of rushing, instead of keeping their Left-Hand thumb up above the blade, out of the line of fire, it has dropped beneath the knife and received a glancing cut from the blade.
- The cut was a minor cut to the tip of the thumb and has just nicked the top of the nail, only removing the very top layer of skin causing very little bleeding.","['role', 'kitchen', 'utility', 'time', 'in', 'role', 'first', 'swing', 'swing', 'length', '14/7', 'days', 'into', 'swing', 'day', '<num>', 'event', 'summary', 'injured', 'person', 'working', 'shift', 'from', '2am-2pm', 'on', 'day', '<num>', 'incident', 'occurred', 'at', 'approximately', '<time>', 'injured', 'person', 'admitted', 'that', 'they', 'were', 'not', 'wearing', 'the', 'correct', 'ppe', 'cut', 'gloves', 'and', 'had', 'not', 'signed', 'off', 'onto', 'the', 'swi', 'procedure', 'for', 'using', 'a', 'knife', 'in', 'the', 'course', 'of', 'their', 'duties', 'injured', 'person', 'also', 'admitted', 'that', 'they', 'had', 'not', 'completed', 'a', 'step', '<num>', 'for', 'the', 'task', 'involved', 'injured', 'person', 'also', 'admitted', 'that', 'they', 'were', 'rushing', 'to', 'complete', 'the', 'task', 'before', 'the', 'end', 'of', 'their', 'shift', 'and', 'was', 'cutting', 'the', 'sweet', 'potatoes', 'quickly', 'in', 'order', 'to', 'complete', 'the', 'task', 'injured', 'person', 'was', 'using', 'a', 'serrated', 'edge', 'bread', 'knife', 'for', 'the', 'task', 'and', 'in', 'the', 'course', 'of', 'rushing', 'instead', 'of', 'keeping', 'their', 'left-hand', 'thumb', 'up', 'above', 'the', 'blade', 'out', 'of', 'the', 'line', 'of', 'fire', 'it', 'has', 'dropped', 'beneath', 'the', 'knife', 'and', 'received', 'a', 'glancing', 'cut', 'from', 'the', 'blade', 'the', 'cut', 'was', 'a', 'minor', 'cut', 'to', 'the', 'tip', 'of', 'the', 'thumb', 'and', 'has', 'just', 'nicked', 'the', 'top', 'of', 'the', 'nail', 'only', 'removing', 'the', 'very', 'top', 'layer', 'of', 'skin', 'causing', 'very', 'little', 'bleeding']"
151,27247,Susceptible Part,"•	Carpenters were removing a damaged window from a SPQ at Carlindi
•	The window frames  locked into position by an aluminium pressing
•	To disengage the window it needed to be elevated to a horizontal position
•	A carpenter was holding this in position above his head, the second carpenter was approaching to help hold the window in place
•	The window became free suddenly and unexpectedly, and the window was dropped onto the head of the carpenter holding it in place
•	The carpenter was not wearing a hard hat and his safety glasses were sitting on the top of his head
•	The nose pieces of the glasses dug into his head resulting on two superficial lacerations 
•	The frame and glass weighed 22kg
•	The glass did not break 
","['carpenters', 'were', 'removing', 'a', 'damaged', 'window', 'from', 'a', 'spq', 'at', 'carlindi', 'the', 'window', 'frames', 'locked', 'into', 'position', 'by', 'an', 'aluminium', 'pressing', 'to', 'disengage', 'the', 'window', 'it', 'needed', 'to', 'be', 'elevated', 'to', 'a', 'horizontal', 'position', 'a', 'carpenter', 'was', 'holding', 'this', 'in', 'position', 'above', 'his', 'head', 'the', 'second', 'carpenter', 'was', 'approaching', 'to', 'help', 'hold', 'the', 'window', 'in', 'place', 'the', 'window', 'became', 'free', 'suddenly', 'and', 'unexpectedly', 'and', 'the', 'window', 'was', 'dropped', 'onto', 'the', 'head', 'of', 'the', 'carpenter', 'holding', 'it', 'in', 'place', 'the', 'carpenter', 'was', 'not', 'wearing', 'a', 'hard', 'hat', 'and', 'his', 'safety', 'glasses', 'were', 'sitting', 'on', 'the', 'top', 'of', 'his', 'head', 'the', 'nose', 'pieces', 'of', 'the', 'glasses', 'dug', 'into', 'his', 'head', 'resulting', 'on', 'two', 'superficial', 'lacerations', 'the', 'frame', 'and', 'glass', 'weighed', '22kg', 'the', 'glass', 'did', 'not', 'break']"
172,12965,Susceptible Part,"injured_person was tasked with removing bolts from the screen pannels to assist with changing out screen panels in the top deck of the secondary screen. injured_person was working from the front of the screen down towards the bottom.

Whilst working towards the bottom of the screen the injured_person stepped over the spray bar, steadying themselves with their right hand on the spray bar.

The IPs right hand little finger became caught on the spray bar. 

No previously known injuries to hand
","['injured', 'person', 'was', 'tasked', 'with', 'removing', 'bolts', 'from', 'the', 'screen', 'pannels', 'to', 'assist', 'with', 'changing', 'out', 'screen', 'panels', 'in', 'the', 'top', 'deck', 'of', 'the', 'secondary', 'screen', 'injured', 'person', 'was', 'working', 'from', 'the', 'front', 'of', 'the', 'screen', 'down', 'towards', 'the', 'bottom', 'whilst', 'working', 'towards', 'the', 'bottom', 'of', 'the', 'screen', 'the', 'injured', 'person', 'stepped', 'over', 'the', 'spray', 'bar', 'steadying', 'themselves', 'with', 'their', 'right', 'hand', 'on', 'the', 'spray', 'bar', 'the', 'ips', 'right', 'hand', 'little', 'finger', 'became', 'caught', 'on', 'the', 'spray', 'bar', 'no', 'previously', 'known', 'injuries', 'to', 'hand']"
179,42768,Susceptible Part,". At 07:30 Hours MPU-GEX08 arrived on the shot to commence loading.  The MPU operator pulled out the first hose for loading, but the hose real lever was tagged out.  At this time a crew member noticed hydraulic oil leaking out of the hydraulic junction box when the MPU operator lifted and slewed the discharge auger out ready to prime the auger.

The MPU operator proceeded to remove the hydraulic junction box cover with a shifter, undoing the four securing lock nuts.  The MPU operator asked two blast crew members to observe and possibly identify where the oil was coming from.  The MPU operator engaged the PTO from inside of the cab.  Two blast crew members were observing where the oil was coming from.  The injured_person said to his fellow work mate to move to the side so that they were not in the direct line of fire.

As the MPU operator engaged the PTO the injured_person observed oil was slowing dripping down a hose within the junction box.  There was no real pressure coming from the oil leak, so the injured_person moved closer to try and pinpoint where the actual leak was coming from.  The injured_person noticed a drizzle coming from a hose and thought he had identified the source of the leak.  As the injured_person turned his head to walk away, the injured_person felt hot hydraulic oil spray into their left eye under their safety glasses.
","['at', '<time>', 'hours', 'mpu-gex08', 'arrived', 'on', 'the', 'shot', 'to', 'commence', 'loading', 'the', 'mpu', 'operator', 'pulled', 'out', 'the', 'first', 'hose', 'for', 'loading', 'but', 'the', 'hose', 'real', 'lever', 'was', 'tagged', 'out', 'at', 'this', 'time', 'a', 'crew', 'member', 'noticed', 'hydraulic', 'oil', 'leaking', 'out', 'of', 'the', 'hydraulic', 'junction', 'box', 'when', 'the', 'mpu', 'operator', 'lifted', 'and', 'slewed', 'the', 'discharge', 'auger', 'out', 'ready', 'to', 'prime', 'the', 'auger', 'the', 'mpu', 'operator', 'proceeded', 'to', 'remove', 'the', 'hydraulic', 'junction', 'box', 'cover', 'with', 'a', 'shifter', 'undoing', 'the', 'four', 'securing', 'lock', 'nuts', 'the', 'mpu', 'operator', 'asked', 'two', 'blast', 'crew', 'members', 'to', 'observe', 'and', 'possibly', 'identify', 'where', 'the', 'oil', 'was', 'coming', 'from', 'the', 'mpu', 'operator', 'engaged', 'the', 'pto', 'from', 'inside', 'of', 'the', 'cab', 'two', 'blast', 'crew', 'members', 'were', 'observing', 'where', 'the', 'oil', 'was', 'coming', 'from', 'the', 'injured', 'person', 'said', 'to', 'his', 'fellow', 'work', 'mate', 'to', 'move', 'to', 'the', 'side', 'so', 'that', 'they', 'were', 'not', 'in', 'the', 'direct', 'line', 'of', 'fire', 'as', 'the', 'mpu', 'operator', 'engaged', 'the', 'pto', 'the', 'injured', 'person', 'observed', 'oil', 'was', 'slowing', 'dripping', 'down', 'a', 'hose', 'within', 'the', 'junction', 'box', 'there', 'was', 'no', 'real', 'pressure', 'coming', 'from', 'the', 'oil', 'leak', 'so', 'the', 'injured', 'person', 'moved', 'closer', 'to', 'try', 'and', 'pinpoint', 'where', 'the', 'actual', 'leak', 'was', 'coming', 'from', 'the', 'injured', 'person', 'noticed', 'a', 'drizzle', 'coming', 'from', 'a', 'hose', 'and', 'thought', 'he', 'had', 'identified', 'the', 'source', 'of', 'the', 'leak', 'as', 'the', 'injured', 'person', 'turned', 'his', 'head', 'to', 'walk', 'away', 'the', 'injured', 'person', 'felt', 'hot', 'hydraulic', 'oil', 'spray', 'into', 'their', 'left', 'eye', 'under', 'their', 'safety', 'glasses']"
190,29464,Susceptible Part,"injured_person was cleaning their work area when, their knife fell the shelf above work station resulting in a slight cut to the right thumb.","['injured', 'person', 'was', 'cleaning', 'their', 'work', 'area', 'when', 'their', 'knife', 'fell', 'the', 'shelf', 'above', 'work', 'station', 'resulting', 'in', 'a', 'slight', 'cut', 'to', 'the', 'right', 'thumb']"
204,24623,Susceptible Part,"injured_person and another worker were installing 4 pieces of 45 x 75 x 1500 formwork, that were screwed together to form a square. They were lifting the formwork up slightly, and using their fingers, were removing soil and bedding/leveling the formwork. 
At some point the formwork was lifted up by the other worker to level the soil. He saw that the injured_person’s fingers were clear, and dropped the formwork down on the ground. However, the injured_person put his fingers back under the formwork to clear more soil. The end of his right middle finger was impacted by the formwork.
","['injured', 'person', 'and', 'another', 'worker', 'were', 'installing', '<num>', 'pieces', 'of', '<num>', 'x', '<num>', 'x', '<num>', 'formwork', 'that', 'were', 'screwed', 'together', 'to', 'form', 'a', 'square', 'they', 'were', 'lifting', 'the', 'formwork', 'up', 'slightly', 'and', 'using', 'their', 'fingers', 'were', 'removing', 'soil', 'and', 'bedding/leveling', 'the', 'formwork', 'at', 'some', 'point', 'the', 'formwork', 'was', 'lifted', 'up', 'by', 'the', 'other', 'worker', 'to', 'level', 'the', 'soil', 'he', 'saw', 'that', 'the', 'injured', 'person', 's', 'fingers', 'were', 'clear', 'and', 'dropped', 'the', 'formwork', 'down', 'on', 'the', 'ground', 'however', 'the', 'injured', 'person', 'put', 'his', 'fingers', 'back', 'under', 'the', 'formwork', 'to', 'clear', 'more', 'soil', 'the', 'end', 'of', 'his', 'right', 'middle', 'finger', 'was', 'impacted', 'by', 'the', 'formwork']"
207,29297,Susceptible Part,"injured_person (rigger) was attempting to relocate 1 metre cans with chain slings at the PR building with another rigger.
As the franna crane operator was roping up the injured_person has grabbed the chains to re- adjust them, and his R index finger has been pinched between the chains and the edge of the cans causing a skin flap injury.
The injured_person was wearing gloves at the time. 
","['injured', 'person', 'rigger', 'was', 'attempting', 'to', 'relocate', '<num>', 'metre', 'cans', 'with', 'chain', 'slings', 'at', 'the', 'pr', 'building', 'with', 'another', 'rigger', 'as', 'the', 'franna', 'crane', 'operator', 'was', 'roping', 'up', 'the', 'injured', 'person', 'has', 'grabbed', 'the', 'chains', 'to', 're', 'adjust', 'them', 'and', 'his', 'r', 'index', 'finger', 'has', 'been', 'pinched', 'between', 'the', 'chains', 'and', 'the', 'edge', 'of', 'the', 'cans', 'causing', 'a', 'skin', 'flap', 'injury', 'the', 'injured', 'person', 'was', 'wearing', 'gloves', 'at', 'the', 'time']"
218,18609,Susceptible Part,"injured_person was steel fixing when he brushed his torso along tie wire that had been previously installed on some reo bar, which caused his shirt to rip resulting in a minor superficial abrasion to his stomach. 
injured_person reported the event to HSE.  injured_person was transported to the medic for assessment. A small plaster was applied to the area. 
injured_person was cleared to return to work soon after with nil restrictions. 
","['injured', 'person', 'was', 'steel', 'fixing', 'when', 'he', 'brushed', 'his', 'torso', 'along', 'tie', 'wire', 'that', 'had', 'been', 'previously', 'installed', 'on', 'some', 'reo', 'bar', 'which', 'caused', 'his', 'shirt', 'to', 'rip', 'resulting', 'in', 'a', 'minor', 'superficial', 'abrasion', 'to', 'his', 'stomach', 'injured', 'person', 'reported', 'the', 'event', 'to', 'hse', 'injured', 'person', 'was', 'transported', 'to', 'the', 'medic', 'for', 'assessment', 'a', 'small', 'plaster', 'was', 'applied', 'to', 'the', 'area', 'injured', 'person', 'was', 'cleared', 'to', 'return', 'to', 'work', 'soon', 'after', 'with', 'nil', 'restrictions']"
231,10502,Susceptible Part,"The worker was tasked with drilling 14mm holes into purlins Monday 25th & Tuesday 26th April using a battery powered drill.  A pilot hole - 8mm in diameter was drilled on every occasion prior to swapping the drill bit out for a 14mm to complete the hole.
To drill the holes, the injured_person would stand at one end of the purlin while their co-worker was at the other end to prevent the purlin from moving.  The injured_person would then lean over the drill and lean into the task.  Both hands were on the drill during the task.
The morning of the incident, 2 previous holes had been drilled without consequence.  It was while drilling the 14mm hole on the 3rd purlin that the bit has grabbed, resulting in immediate discomfort.  
While the worker felt discomfort, it was not unbearable so continued to assist their co-worker by passing and holding purlin pieces during installation.
Around 2pm the discomfort increased which is when the injured_person advised their Supervisor who transported the worker to the medical centre for review and assessment.
The worker acknowledged the drill bit grabbed the day prior however felt no discomfort and determined it was not necessary to change their way of drilling with an 8 & 14mm drill bits.","['the', 'worker', 'was', 'tasked', 'with', 'drilling', '14mm', 'holes', 'into', 'purlins', 'monday', '<ord>', 'tuesday', '<ord>', 'april', 'using', 'a', 'battery', 'powered', 'drill', 'a', 'pilot', 'hole', '8mm', 'in', 'diameter', 'was', 'drilled', 'on', 'every', 'occasion', 'prior', 'to', 'swapping', 'the', 'drill', 'bit', 'out', 'for', 'a', '14mm', 'to', 'complete', 'the', 'hole', 'to', 'drill', 'the', 'holes', 'the', 'injured', 'person', 'would', 'stand', 'at', 'one', 'end', 'of', 'the', 'purlin', 'while', 'their', 'co-worker', 'was', 'at', 'the', 'other', 'end', 'to', 'prevent', 'the', 'purlin', 'from', 'moving', 'the', 'injured', 'person', 'would', 'then', 'lean', 'over', 'the', 'drill', 'and', 'lean', 'into', 'the', 'task', 'both', 'hands', 'were', 'on', 'the', 'drill', 'during', 'the', 'task', 'the', 'morning', 'of', 'the', 'incident', '<num>', 'previous', 'holes', 'had', 'been', 'drilled', 'without', 'consequence', 'it', 'was', 'while', 'drilling', 'the', '14mm', 'hole', 'on', 'the', '<ord>', 'purlin', 'that', 'the', 'bit', 'has', 'grabbed', 'resulting', 'in', 'immediate', 'discomfort', 'while', 'the', 'worker', 'felt', 'discomfort', 'it', 'was', 'not', 'unbearable', 'so', 'continued', 'to', 'assist', 'their', 'co-worker', 'by', 'passing', 'and', 'holding', 'purlin', 'pieces', 'during', 'installation', 'around', '<time>', 'the', 'discomfort', 'increased', 'which', 'is', 'when', 'the', 'injured', 'person', 'advised', 'their', 'supervisor', 'who', 'transported', 'the', 'worker', 'to', 'the', 'medical', 'centre', 'for', 'review', 'and', 'assessment', 'the', 'worker', 'acknowledged', 'the', 'drill', 'bit', 'grabbed', 'the', 'day', 'prior', 'however', 'felt', 'no', 'discomfort', 'and', 'determined', 'it', 'was', 'not', 'necessary', 'to', 'change', 'their', 'way', 'of', 'drilling', 'with', 'an', '<num>', '14mm', 'drill', 'bits']"
234,11425,Susceptible Part,"injured_person was prepping up Crib Food. At approximately 0030Hrs, before heading on break, injured_person was cleaning their knife with a Chux Cloth. When sliding the cloth down the knife, the knife blade went through the cloth and pierced injured_person's skin.

","['injured', 'person', 'was', 'prepping', 'up', 'crib', 'food', 'at', 'approximately', '<time>', 'before', 'heading', 'on', 'break', 'injured', 'person', 'was', 'cleaning', 'their', 'knife', 'with', 'a', 'chux', 'cloth', 'when', 'sliding', 'the', 'cloth', 'down', 'the', 'knife', 'the', 'knife', 'blade', 'went', 'through', 'the', 'cloth', 'and', 'pierced', 'injured', 'person', 's', 'skin']"
