Reference,Date and Time of Event,Detailed Description of Event,Energy Type,Type of Potential Damage,Source
SAM-036,2026-03-13 08:05,Worker inhaled fumes after a container leaked.,Chemical,Temporary / Minor Damage,Synthetic sample
SAM-037,2026-03-13 10:30,Chemical splashed onto worker skin during handling.,Chemical,Temporary / Minor Damage,Synthetic sample
SAM-038,2026-03-13 14:50,Worker entered a confined area with low oxygen.,Chemical,Fatal,Synthetic sample
SAM-039,2026-03-14 07:55,Worker touched a hot metal surface after heating.,Thermal,Temporary / Minor Damage,Synthetic sample
SAM-040,2026-03-14 12:10,Worker handled a very cold object and injured fingers.,Thermal,Temporary / Minor Damage,Synthetic sample
SAM-041,2026-03-15 08:25,Pressurised hose released and struck a worker.,Pressure,Permanent Disabling Injury,Synthetic sample
SAM-042,2026-03-15 13:30,Pressure vessel released suddenly during work.,Pressure,Fatal,Synthetic sample
SAM-043,2026-03-16 09:05,Worker reported hearing discomfort after loud equipment noise.,Noise,Temporary / Minor Damage,Synthetic sample
SAM-044,2026-03-16 11:40,Worker was punctured by a sharp edge during handling.,Specialized Shape,Temporary / Minor Damage,Synthetic sample
SAM-045,2026-03-16 14:20,Worker had a reaction after contact with a known allergen.,Susceptible Part,Temporary / Minor Damage,Synthetic sample
SAM-046,2026-03-17 08:15,Worker was bitten by an animal while working outdoors.,Animal,Temporary / Minor Damage,Synthetic sample
SAM-047,2026-03-17 10:45,Worker was exposed to biological material during cleanup.,Biological,Temporary / Minor Damage,Synthetic sample
SAM-048,2026-03-17 13:25,Worker was exposed to low level radiation during inspection.,Radiation,Temporary / Minor Damage,Synthetic sample
SAM-049,2026-03-18 09:00,Incident involved damage energy that did not fit the listed groups.,Other,Temporary / Minor Damage,Synthetic sample
SAM-050,2026-03-18 11:30,Incident report did not contain enough detail to identify the energy type.,Insufficient Information,Temporary / Minor Damage,Synthetic sample
